,Cycle,Joint,Angle_x,Angle_y,Angle_z,Flex_Ext_Angle,subject,avg_flex
128,29.0,l_ankle,32.870140776802444,-16.57894242358675,-2.315046641251906,57.12640813477184,1,56.25818436308293
129,30.0,l_ankle,32.910115039269115,-16.59000240276383,-2.4115331077576294,57.08990941197373,1,56.21136769643813
130,31.0,l_ankle,32.93024132917943,-16.600420927277234,-2.5166158535340353,57.076611945186265,1,56.187592522428005
131,32.0,l_ankle,32.92602392428366,-16.607849284444324,-2.6165589303265446,57.074000526959175,1,56.182933432330984
132,33.0,l_ankle,32.906154439775676,-16.615472878467283,-2.708190120987016,57.090394471798604,1,56.20240268740973
133,34.0,l_ankle,32.87415363184747,-16.623536627712355,-2.7948945757048382,57.12239527972683,1,56.24561572381345
134,35.0,l_ankle,32.8338556209265,-16.63175519307311,-2.8775377251269125,57.166168830316366,1,56.30904923620808
135,36.0,l_ankle,32.78812137955094,-16.638732899374222,-2.947808857246839,57.218731894814745,1,56.38979475448681
136,37.0,l_ankle,32.731085099869595,-16.639716655391982,-2.9919494053657707,57.26893935137328,1,56.478767923936665
137,38.0,l_ankle,32.66528892881832,-16.63766836435479,-3.0039765716619695,57.33125998275597,1,56.581421425357675
138,39.0,l_ankle,32.58472794597276,-16.634682146903092,-2.9916986999188953,57.411820965601564,1,56.70106667317335
139,40.0,l_ankle,32.48342960506178,-16.634293537378248,-2.9726272638555487,57.51659484618107,1,56.8443469072183
140,41.0,l_ankle,32.35766066898975,-16.639704349543337,-2.9617397512046595,57.64919260537592,1,57.01640867762377
141,42.0,l_ankle,32.20120232173727,-16.64994059128161,-2.961652858973758,57.798822129505595,1,57.20992881271358
142,43.0,l_ankle,32.02299536446575,-16.670362184621492,-2.9642842858987755,57.97355354710854,1,57.42575449898479
143,44.0,l_ankle,31.826844632894087,-16.703278124908785,-2.9568922480104196,58.16970427868021,1,57.65774384365699
144,45.0,l_ankle,31.611807805324958,-16.747134732855486,-2.9293288856570032,58.388216645917915,1,57.90825830107302
145,46.0,l_ankle,31.368947679722535,-16.792836881835182,-2.8768251370222164,58.637905594643186,1,58.18655569132526
146,47.0,l_ankle,31.079261884139285,-16.82230314866774,-2.800647717802416,58.92076256710357,1,58.49803914866746
147,48.0,l_ankle,30.739341851261564,-16.824503981656843,-2.7115095202530934,59.25720706031274,1,58.85124767817514
